common name,scientific name,extinct,forefront recs,background recs,africa,americas,asia,australasia,europe
Spectacled Warbler ,Sylvia conspicillata ,False,134,45,True,False,True,False,True
Subalpine Warbler ,Sylvia cantillans ,False,327,174,True,False,True,False,True
Moltoni's Warbler ,Sylvia subalpina ,False,98,11,False,False,False,False,True
Sardinian Warbler ,Sylvia melanocephala ,False,855,1818,True,False,True,False,True
Menetries's Warbler ,Sylvia mystacea ,False,48,5,True,False,True,False,True
Rüppell's Warbler ,Sylvia ruppeli ,False,26,1,True,False,True,False,True
Cyprus Warbler ,Sylvia melanothorax ,False,20,3,True,False,True,False,True
Yemen Warbler ,Sylvia buryi ,False,8,0,True,False,True,False,False
Brown Parisoma ,Sylvia lugens ,False,8,1,True,False,False,False,False
Banded Parisoma ,Sylvia boehmi ,False,32,12,True,False,False,False,False
Chestnut-vented Warbler ,Sylvia subcoerulea ,False,135,68,True,False,False,False,False
Layard's Warbler ,Sylvia layardi ,False,33,3,True,False,False,False,False
Golden-breasted Fulvetta ,Lioparus chrysotis ,False,19,0,False,False,True,False,False
Rufous-tailed Babbler ,Moupinia poecilotis ,False,6,0,False,False,True,False,False
White-browed Fulvetta ,Fulvetta vinipectus ,False,20,3,False,False,True,False,False
Chinese Fulvetta ,Fulvetta striaticollis ,False,5,0,False,False,True,False,False
Spectacled Fulvetta ,Fulvetta ruficapilla ,False,6,1,False,False,True,False,False
Indochinese Fulvetta ,Fulvetta danisi ,False,2,0,False,False,True,False,False
Brown-throated Fulvetta ,Fulvetta ludlowi ,False,11,3,False,False,True,False,False
Grey-hooded Fulvetta ,Fulvetta cinereiceps ,False,7,0,False,False,True,False,False
Manipur Fulvetta ,Fulvetta manipurensis ,False,9,0,False,False,True,False,False
Taiwan Fulvetta ,Fulvetta formosana ,False,13,17,False,False,True,False,False
Yellow-eyed Babbler ,Chrysomma sinense ,False,46,1,False,False,True,False,False
Jerdon's Babbler ,Chrysomma altirostre ,False,16,0,False,False,True,False,False
Beijing Babbler ,Rhopophilus pekinensis ,False,20,0,False,False,True,False,False
Tarim Babbler ,Rhopophilus albosuperciliaris ,False,11,0,False,False,False,False,False
Wrentit ,Chamaea fasciata ,False,94,292,False,True,False,False,False
Great Parrotbill ,Conostoma aemodium ,False,20,1,False,False,True,False,False
Three-toed Parrotbill ,Cholornis paradoxus ,False,2,0,False,False,True,False,False
Brown Parrotbill ,Cholornis unicolor ,False,16,0,False,False,True,False,False
Spectacled Parrotbill ,Sinosuthora conspicillata ,False,10,0,False,False,True,False,False
Vinous-throated Parrotbill ,Sinosuthora webbiana ,False,58,25,False,False,True,False,False
Ashy-throated Parrotbill ,Sinosuthora alphonsiana ,False,8,0,False,False,True,False,False
Brown-winged Parrotbill ,Sinosuthora brunnea ,False,6,0,False,False,True,False,False
Grey-hooded Parrotbill ,Sinosuthora zappeyi ,False,7,0,False,False,True,False,False
Przevalski's Parrotbill ,Sinosuthora przewalskii ,False,5,0,False,False,True,False,False
Fulvous Parrotbill ,Suthora fulvifrons ,False,8,0,False,False,True,False,False
Black-throated Parrotbill ,Suthora nipalensis ,False,15,2,False,False,True,False,False
Golden Parrotbill ,Suthora verreauxi ,False,17,8,False,False,True,False,False
Short-tailed Parrotbill ,Neosuthora davidiana ,False,8,0,False,False,True,False,False
Pale-billed Parrotbill ,Chleuasicus atrosuperciliaris ,False,3,0,False,False,True,False,False
White-breasted Parrotbill ,Psittiparus ruficeps ,False,13,0,False,False,True,False,False
Rufous-headed Parrotbill ,Psittiparus bakeri ,False,11,0,False,False,True,False,False
Grey-headed Parrotbill ,Psittiparus gularis ,False,21,4,False,False,True,False,False
Black-headed Parrotbill ,Psittiparus margaritae ,False,7,0,False,False,True,False,False
Black-breasted Parrotbill ,Paradoxornis flavirostris ,False,12,0,False,False,True,False,False
Spot-breasted Parrotbill ,Paradoxornis guttaticollis ,False,31,0,False,False,True,False,False
Reed Parrotbill ,Paradoxornis heudei ,False,27,0,False,False,True,False,False
Striated Yuhina ,Yuhina castaniceps ,False,13,3,False,False,True,False,False
Indochinese Yuhina ,Yuhina torqueola ,False,16,1,False,False,True,False,False
Chestnut-crested Yuhina ,Yuhina everetti ,False,21,3,False,False,True,False,False
White-naped Yuhina ,Yuhina bakeri ,False,6,0,False,False,True,False,False
Whiskered Yuhina ,Yuhina flavicollis ,False,57,25,False,False,True,False,False
Burmese Yuhina ,Yuhina humilis ,False,2,0,False,False,True,False,False
Stripe-throated Yuhina ,Yuhina gularis ,False,32,12,False,False,True,False,False
White-collared Yuhina ,Yuhina diademata ,False,6,0,False,False,True,False,False
Rufous-vented Yuhina ,Yuhina occipitalis ,False,30,6,False,False,True,False,False
Taiwan Yuhina ,Yuhina brunneiceps ,False,14,35,False,False,True,False,False
Black-chinned Yuhina ,Yuhina nigrimenta ,False,27,1,False,False,True,False,False
Chestnut-faced Babbler ,Zosterornis whiteheadi ,False,7,1,False,False,True,False,False
Luzon Striped Babbler ,Zosterornis striatus ,False,5,0,False,False,True,False,False
Panay Striped Babbler ,Zosterornis latistriatus ,False,1,0,False,False,True,False,False
Negros Striped Babbler ,Zosterornis nigrorum ,False,9,0,False,False,True,False,False
Palawan Striped Babbler ,Zosterornis hypogrammicus ,False,7,0,False,False,True,False,False
Giant White-eye ,Megazosterops palauensis ,False,5,0,False,False,False,False,False
Bonin White-eye ,Apalopteron familiare ,False,2,0,False,False,True,False,False
Golden White-eye ,Cleptornis marchei ,False,3,1,False,False,False,False,False
Teardrop White-eye ,Rukia ruki ,False,0,0,False,False,False,False,False
Long-billed White-eye ,Rukia longirostra ,False,1,0,False,False,False,False,False
Flame-templed Babbler ,Dasycrotapha speciosa ,False,13,0,False,False,True,False,False
