common name,scientific name,extinct,forefront recs,background recs,africa,americas,asia,australasia,europe
Caribbean Dove ,Leptotila jamaicensis ,False,9,13,False,True,False,False,False
Grey-chested Dove ,Leptotila cassinii ,False,28,22,False,True,False,False,False
Ochre-bellied Dove ,Leptotila ochraceiventris ,False,12,4,False,True,False,False,False
Tolima Dove ,Leptotila conoveri ,False,25,0,False,True,False,False,False
Tuxtla Quail-Dove ,Zentrygon carrikeri ,False,4,2,False,False,False,False,False
Buff-fronted Quail-Dove ,Zentrygon costaricensis ,False,5,0,False,True,False,False,False
Purplish-backed Quail-Dove ,Zentrygon lawrencii ,False,10,2,False,True,False,False,False
White-faced Quail-Dove ,Zentrygon albifacies ,False,29,25,False,True,False,False,False
White-throated Quail-Dove ,Zentrygon frenata ,False,62,49,False,True,False,False,False
Lined Quail-Dove ,Zentrygon linearis ,False,36,18,False,True,False,False,False
Chiriqui Quail-Dove ,Zentrygon chiriquensis ,False,6,2,False,False,False,False,False
Russet-crowned Quail-Dove ,Zentrygon goldmani ,False,7,2,False,True,False,False,False
Passenger Pigeon ,Ectopistes migratorius ,True,0,0,False,False,False,False,False
Mourning Dove ,Zenaida macroura ,False,139,1627,False,True,False,False,True
Socorro Dove ,Zenaida graysoni ,False,0,0,False,True,False,False,False
Eared Dove ,Zenaida auriculata ,False,89,37,False,True,False,False,False
Zenaida Dove ,Zenaida aurita ,False,13,42,False,True,False,False,False
Galapagos Dove ,Zenaida galapagoensis ,False,0,0,False,False,False,False,False
White-winged Dove ,Zenaida asiatica ,False,151,2232,False,True,False,False,False
West Peruvian Dove ,Zenaida meloda ,False,44,67,False,True,False,False,False
Nicobar Pigeon ,Caloenas nicobarica ,False,2,1,False,False,True,True,False
Spotted Green Pigeon ,Caloenas maculata ,True,0,0,False,False,False,False,False
Sulawesi Ground Dove ,Gallicolumba tristigmata ,False,1,0,False,False,True,True,False
Cinnamon Ground Dove ,Gallicolumba rufigula ,False,2,0,False,False,True,True,False
Luzon Bleeding-heart ,Gallicolumba luzonica ,False,2,0,False,False,True,False,False
Mindanao Bleeding-heart ,Gallicolumba crinigera ,False,3,0,False,False,True,False,False
Mindoro Bleeding-heart ,Gallicolumba platenae ,False,0,0,False,False,True,False,False
Negros Bleeding-heart ,Gallicolumba keayi ,False,9,0,False,False,True,False,False
Sulu Bleeding-heart ,Gallicolumba menagei ,False,0,0,False,False,True,False,False
Wetar Ground Dove ,Alopecoenas hoedtii ,False,7,0,False,False,True,False,False
White-breasted Ground Dove ,Alopecoenas jobiensis ,False,0,0,False,False,False,False,False
White-fronted Ground Dove ,Alopecoenas kubaryi ,False,0,0,False,False,False,False,False
Polynesian Ground Dove ,Alopecoenas erythropterus ,False,0,0,False,False,False,False,False
White-throated Ground Dove ,Alopecoenas xanthonurus ,False,3,1,False,False,False,False,False
Norfolk Ground Dove ,Alopecoenas norfolkensis ,True,0,0,False,False,False,False,False
Tongan Ground Dove ,Alopecoenas stairi ,False,1,0,False,False,False,False,False
Santa Cruz Ground Dove ,Alopecoenas sanctaecrucis ,False,0,0,False,False,False,False,False
Tanna Ground Dove ,Alopecoenas ferrugineus ,True,0,0,False,False,False,False,False
Thick-billed Ground Dove ,Alopecoenas salamonis ,True,0,0,False,False,False,False,False
Marquesan Ground Dove ,Alopecoenas rubescens ,False,0,0,False,False,False,False,False
Bronze Ground Dove ,Alopecoenas beccarii ,False,7,2,False,False,False,False,False
Palau Ground Dove ,Alopecoenas canifrons ,False,0,0,False,False,False,False,False
Choiseul Pigeon ,Microgoura meeki ,True,0,0,False,False,False,False,False
Pheasant Pigeon ,Otidiphaps nobilis ,False,13,3,False,False,True,True,False
Western Crowned Pigeon ,Goura cristata ,False,1,0,False,False,True,True,False
Scheepmaker's Crowned Pigeon ,Goura scheepmakeri ,False,0,0,False,False,True,True,False
Sclater's Crowned Pigeon ,Goura sclaterii ,False,4,0,False,False,False,False,False
Victoria Crowned Pigeon ,Goura victoria ,False,3,0,False,False,True,True,False
Dodo ,Raphus cucullatus ,True,0,0,False,False,False,False,False
Rodrigues Solitaire ,Pezophaps solitaria ,True,0,0,False,False,False,False,False
Tooth-billed Pigeon ,Didunculus strigirostris ,False,0,0,False,False,False,False,False
White-eared Brown Dove ,Phapitreron leucotis ,False,33,3,False,False,True,False,False
Amethyst Brown Dove ,Phapitreron amethystinus ,False,6,0,False,False,True,False,False
Tawitawi Brown Dove ,Phapitreron cinereiceps ,False,1,0,False,False,True,False,False
Mindanao Brown Dove ,Phapitreron brunneiceps ,False,2,0,False,False,True,False,False
Cinnamon-headed Green Pigeon ,Treron fulvicollis ,False,3,0,False,False,True,False,False
Little Green Pigeon ,Treron olax ,False,8,0,False,False,True,False,False
Pink-necked Green Pigeon ,Treron vernans ,False,21,2,False,False,True,True,False
Orange-breasted Green Pigeon ,Treron bicinctus ,False,5,0,False,False,True,False,False
Sri Lanka Green Pigeon ,Treron pompadora ,False,2,1,False,False,True,False,False
Grey-fronted Green Pigeon ,Treron affinis ,False,13,0,False,False,True,False,False
Ashy-headed Green Pigeon ,Treron phayrei ,False,9,3,False,False,True,False,False
Andaman Green Pigeon ,Treron chloropterus ,False,3,1,False,False,True,False,False
Philippine Green Pigeon ,Treron axillaris ,False,4,0,False,False,True,False,False
Buru Green Pigeon ,Treron aromaticus ,False,0,0,False,False,True,False,False
Thick-billed Green Pigeon ,Treron curvirostra ,False,28,4,False,False,True,False,False
Grey-cheeked Green Pigeon ,Treron griseicauda ,False,8,3,False,False,True,True,False
Sumba Green Pigeon ,Treron teysmannii ,False,5,0,False,False,True,False,False
Flores Green Pigeon ,Treron floris ,False,6,0,False,False,True,False,False
Timor Green Pigeon ,Treron psittaceus ,False,3,0,False,False,True,False,False
Large Green Pigeon ,Treron capellei ,False,8,0,False,False,True,False,False
Yellow-footed Green Pigeon ,Treron phoenicopterus ,False,10,1,False,False,True,False,False
Bruce's Green Pigeon ,Treron waalia ,False,14,0,True,False,True,False,False
Madagascan Green Pigeon ,Treron australis ,False,0,0,True,False,False,False,False
Comoros Green Pigeon ,Treron griveaudi ,False,4,0,False,False,False,False,False
African Green Pigeon ,Treron calvus ,False,24,26,True,False,False,False,False
Pemba Green Pigeon ,Treron pembaensis ,False,3,0,True,False,False,False,False
Sao Tome Green Pigeon ,Treron sanctithomae ,False,3,2,True,False,False,False,False
Pin-tailed Green Pigeon ,Treron apicauda ,False,3,0,False,False,True,False,False
Sumatran Green Pigeon ,Treron oxyurus ,False,8,0,False,False,True,False,False
Yellow-vented Green Pigeon ,Treron seimundi ,False,5,0,False,False,True,False,False
Wedge-tailed Green Pigeon ,Treron sphenurus ,False,18,1,False,False,True,False,False
White-bellied Green Pigeon ,Treron sieboldii ,False,38,39,False,False,True,False,False
Whistling Green Pigeon ,Treron formosae ,False,21,9,False,False,True,False,False
Banded Fruit Dove ,Ptilinopus cinctus ,False,15,16,False,False,True,False,False
Black-banded Fruit Dove ,Ptilinopus alligator ,False,2,0,False,False,False,True,False
Red-naped Fruit Dove ,Ptilinopus dohertyi ,False,4,0,False,False,True,False,False
Pink-headed Fruit Dove ,Ptilinopus porphyreus ,False,9,1,False,False,True,False,False
Flame-breasted Fruit Dove ,Ptilinopus marchei ,False,3,0,False,False,True,False,False
Cream-breasted Fruit Dove ,Ptilinopus merrilli ,False,5,0,False,False,True,False,False
Yellow-breasted Fruit Dove ,Ptilinopus occipitalis ,False,17,0,False,False,True,False,False
Red-eared Fruit Dove ,Ptilinopus fischeri ,False,12,0,False,False,True,True,False
Jambu Fruit Dove ,Ptilinopus jambu ,False,1,0,False,False,True,False,False
Banggai Fruit Dove ,Ptilinopus subgularis ,False,9,0,False,False,True,True,False
Oberholser's Fruit Dove ,Ptilinopus epius ,False,6,0,False,False,True,False,False
Sula Fruit Dove ,Ptilinopus mangoliensis ,False,4,1,False,False,True,False,False
Black-chinned Fruit Dove ,Ptilinopus leclancheri ,False,6,0,False,False,True,False,False
Scarlet-breasted Fruit Dove ,Ptilinopus bernsteinii ,False,10,3,False,False,True,False,False
Wompoo Fruit Dove ,Ptilinopus magnificus ,False,35,59,False,False,True,True,False
Pink-spotted Fruit Dove ,Ptilinopus perlatus ,False,9,0,False,False,True,True,False
Ornate Fruit Dove ,Ptilinopus ornatus ,False,0,0,False,False,True,True,False
Tanna Fruit Dove ,Ptilinopus tannensis ,False,1,0,False,False,False,False,False
Orange-fronted Fruit Dove ,Ptilinopus aurantiifrons ,False,12,2,False,False,True,True,False
Wallace's Fruit Dove ,Ptilinopus wallacii ,False,10,2,False,False,True,False,False
Superb Fruit Dove ,Ptilinopus superbus ,False,43,104,False,False,True,True,False
Many-colored Fruit Dove ,Ptilinopus perousii ,False,4,4,False,False,False,False,False
Crimson-crowned Fruit Dove ,Ptilinopus porphyraceus ,False,10,23,False,False,False,False,False
Purple-capped Fruit Dove ,Ptilinopus ponapensis ,False,8,2,False,False,False,False,False
Kosrae Fruit Dove ,Ptilinopus hernsheimi ,False,1,0,False,False,False,False,False
Palau Fruit Dove ,Ptilinopus pelewensis ,False,6,11,False,False,False,False,False
Lilac-crowned Fruit Dove ,Ptilinopus rarotongensis ,False,10,1,False,False,False,False,False
Mariana Fruit Dove ,Ptilinopus roseicapilla ,False,3,0,False,False,False,False,False
Rose-crowned Fruit Dove ,Ptilinopus regina ,False,24,19,False,False,True,True,False
Silver-capped Fruit Dove ,Ptilinopus richardsii ,False,1,0,False,False,False,False,False
Grey-green Fruit Dove ,Ptilinopus purpuratus ,False,1,0,False,False,False,False,False
Makatea Fruit Dove ,Ptilinopus chalcurus ,False,0,0,False,False,False,False,False
Atoll Fruit Dove ,Ptilinopus coralensis ,False,1,0,False,False,False,False,False
Red-bellied Fruit Dove ,Ptilinopus greyi ,False,6,1,False,False,False,False,False
Rapa Fruit Dove ,Ptilinopus huttoni ,False,1,0,False,False,False,False,False
White-capped Fruit Dove ,Ptilinopus dupetithouarsii ,False,2,3,False,False,False,False,False
Red-moustached Fruit Dove ,Ptilinopus mercierii ,True,0,0,False,False,False,False,False
Henderson Fruit Dove ,Ptilinopus insularis ,False,2,0,False,False,False,False,False
Coroneted Fruit Dove ,Ptilinopus coronulatus ,False,7,16,False,False,True,True,False
Beautiful Fruit Dove ,Ptilinopus pulchellus ,False,11,1,False,False,True,True,False
Blue-capped Fruit Dove ,Ptilinopus monacha ,False,11,5,False,False,True,False,False
White-bibbed Fruit Dove ,Ptilinopus rivoli ,False,14,5,False,False,True,True,False
Yellow-bibbed Fruit Dove ,Ptilinopus solomonensis ,False,28,19,False,False,True,True,False
Claret-breasted Fruit Dove ,Ptilinopus viridis ,False,37,12,False,False,True,True,False
White-headed Fruit Dove ,Ptilinopus eugeniae ,False,10,15,False,False,False,False,False
Orange-bellied Fruit Dove ,Ptilinopus iozonus ,False,23,9,False,False,True,True,False
Knob-billed Fruit Dove ,Ptilinopus insolitus ,False,1,0,False,False,False,True,False
Grey-headed Fruit Dove ,Ptilinopus hyogastrus ,False,7,7,False,False,True,False,False
Carunculated Fruit Dove ,Ptilinopus granulifrons ,False,3,0,False,False,True,False,False
Black-naped Fruit Dove ,Ptilinopus melanospilus ,False,25,29,False,False,True,True,False
Dwarf Fruit Dove ,Ptilinopus nainus ,False,7,0,False,False,True,True,False
Negros Fruit Dove ,Ptilinopus arcanus ,False,0,0,False,False,True,False,False
Orange Fruit Dove ,Ptilinopus victor ,False,9,0,False,False,False,False,False
Golden Fruit Dove ,Ptilinopus luteovirens ,False,10,12,False,False,False,False,False
Whistling Fruit Dove ,Ptilinopus layardi ,False,10,17,False,False,False,False,False
Cloven-feathered Dove ,Drepanoptila holosericea ,False,1,1,False,False,False,False,False
Mauritius Blue Pigeon ,Alectroenas nitidissimus ,True,0,0,False,False,False,False,False
Madagascan Blue Pigeon ,Alectroenas madagascariensis ,False,1,0,True,False,False,False,False
Comoros Blue Pigeon ,Alectroenas sganzini ,False,2,0,False,False,False,False,False
Seychelles Blue Pigeon ,Alectroenas pulcherrimus ,False,4,3,False,False,False,False,False
Pink-bellied Imperial Pigeon ,Ducula poliocephala ,False,13,1,False,False,True,False,False
White-bellied Imperial Pigeon ,Ducula forsteni ,False,6,2,False,False,True,True,False
Mindoro Imperial Pigeon ,Ducula mindorensis ,False,0,0,False,False,True,False,False
Grey-headed Imperial Pigeon ,Ducula radiata ,False,0,0,False,False,True,True,False
Spotted Imperial Pigeon ,Ducula carola ,False,0,0,False,False,True,False,False
Green Imperial Pigeon ,Ducula aenea ,False,61,56,False,False,True,True,False
Nicobar Imperial Pigeon ,Ducula nicobarica ,False,1,0,False,False,True,False,False
Spectacled Imperial Pigeon ,Ducula perspicillata ,False,22,20,False,False,True,False,False
Seram Imperial Pigeon ,Ducula neglecta ,False,7,0,False,False,True,False,False
Elegant Imperial Pigeon ,Ducula concinna ,False,18,37,False,False,True,True,False
Pacific Imperial Pigeon ,Ducula pacifica ,False,14,33,False,False,True,True,False
Micronesian Imperial Pigeon ,Ducula oceanica ,False,13,2,False,False,False,False,False
Polynesian Imperial Pigeon ,Ducula aurorae ,False,0,0,False,False,False,False,False
Marquesan Imperial Pigeon ,Ducula galeata ,False,3,0,False,False,False,False,False
Red-knobbed Imperial Pigeon ,Ducula rubricera ,False,28,21,False,False,False,True,False
Spice Imperial Pigeon ,Ducula myristicivora ,False,16,8,False,False,True,False,False
Purple-tailed Imperial Pigeon ,Ducula rufigaster ,False,11,2,False,False,True,True,False
Cinnamon-bellied Imperial Pigeon ,Ducula basilica ,False,27,21,False,False,True,False,False
Finsch's Imperial Pigeon ,Ducula finschii ,False,6,0,False,False,False,True,False
Rufescent Imperial Pigeon ,Ducula chalconota ,False,2,0,False,False,True,True,False
Island Imperial Pigeon ,Ducula pistrinaria ,False,19,4,False,False,True,True,False
Pink-headed Imperial Pigeon ,Ducula rosacea ,False,14,16,False,False,True,True,False
Christmas Imperial Pigeon ,Ducula whartoni ,False,2,4,False,False,False,False,False
Grey Imperial Pigeon ,Ducula pickeringii ,False,14,1,False,False,True,False,False
Barking Imperial Pigeon ,Ducula latrans ,False,22,36,False,False,False,False,False
Chestnut-bellied Imperial Pigeon ,Ducula brenchleyi ,False,8,0,False,False,False,False,False
Vanuatu Imperial Pigeon ,Ducula bakeri ,False,0,0,False,False,False,False,False
Goliath Imperial Pigeon ,Ducula goliath ,False,7,3,False,False,False,False,False
Pinon's Imperial Pigeon ,Ducula pinon ,False,20,49,False,False,True,True,False
Black Imperial Pigeon ,Ducula melanochroa ,False,1,0,False,False,False,True,False
Collared Imperial Pigeon ,Ducula mullerii ,False,1,0,False,False,True,True,False
Zoe's Imperial Pigeon ,Ducula zoeae ,False,25,13,False,False,True,True,False
Mountain Imperial Pigeon ,Ducula badia ,False,51,18,False,False,True,False,False
Dark-backed Imperial Pigeon ,Ducula lacernulata ,False,26,5,False,False,True,False,False
Timor Imperial Pigeon ,Ducula cineracea ,False,4,0,False,False,True,False,False
Pied Imperial Pigeon ,Ducula bicolor ,False,12,5,False,False,True,True,False
Silver-tipped Imperial Pigeon ,Ducula luctuosa ,False,1,1,False,False,True,True,False
Torresian Imperial Pigeon ,Ducula spilorrhoa ,False,10,13,False,False,True,True,False
Yellowish Imperial Pigeon ,Ducula subflavescens ,False,2,0,False,False,False,False,False
Topknot Pigeon ,Lopholaimus antarcticus ,False,4,3,False,False,False,True,False
New Zealand Pigeon ,Hemiphaga novaeseelandiae ,False,8,1,False,False,False,True,False
Chatham Pigeon ,Hemiphaga chathamensis ,False,1,1,False,False,False,False,False
Sombre Pigeon ,Cryptophaps poecilorrhoa ,False,4,0,False,False,True,True,False
Papuan Mountain Pigeon ,Gymnophaps albertisii ,False,1,0,False,False,True,True,False
Buru Mountain Pigeon ,Gymnophaps mada ,False,0,0,False,False,True,False,False
Seram Mountain Pigeon ,Gymnophaps stalkeri ,False,0,0,False,False,True,False,False
Pale Mountain Pigeon ,Gymnophaps solomonensis ,False,1,1,False,False,False,True,False
Hoatzin ,Opisthocomus hoazin ,False,93,77,False,True,False,False,False
Great Blue Turaco ,Corythaeola cristata ,False,51,14,True,False,False,False,False
Guinea Turaco ,Tauraco persa ,False,29,7,True,False,False,False,False
Livingstone's Turaco ,Tauraco livingstonii ,False,203,44,True,False,False,False,False
Schalow's Turaco ,Tauraco schalowi ,False,35,4,True,False,False,False,False
Knysna Turaco ,Tauraco corythaix ,False,23,19,True,False,False,False,False
Black-billed Turaco ,Tauraco schuettii ,False,11,9,True,False,False,False,False
Fischer's Turaco ,Tauraco fischeri ,False,6,0,True,False,False,False,False
Yellow-billed Turaco ,Tauraco macrorhynchus ,False,32,37,True,False,False,False,False
White-crested Turaco ,Tauraco leucolophus ,False,2,13,True,False,False,False,False
Bannerman's Turaco ,Tauraco bannermani ,False,8,8,True,False,False,False,False
Red-crested Turaco ,Tauraco erythrolophus ,False,0,1,True,False,False,False,False
Hartlaub's Turaco ,Tauraco hartlaubi ,False,34,8,True,False,False,False,False
White-cheeked Turaco ,Tauraco leucotis ,False,13,4,True,False,False,False,False
Ruspoli's Turaco ,Tauraco ruspolii ,False,6,0,True,False,False,False,False
Purple-crested Turaco ,Tauraco porphyreolophus ,False,49,33,True,False,False,False,False
Rwenzori Turaco ,Ruwenzorornis johnstoni ,False,5,0,True,False,False,False,False
Violet Turaco ,Musophaga violacea ,False,15,2,True,False,False,False,False
Ross's Turaco ,Musophaga rossae ,False,30,1,True,False,False,False,False
Grey Go-away-bird ,Corythaixoides concolor ,False,41,16,True,False,False,False,False
Bare-faced Go-away-bird ,Corythaixoides personatus ,False,9,2,True,False,False,False,False
White-bellied Go-away-bird ,Corythaixoides leucogaster ,False,53,32,True,False,False,False,False
Western Plantain-eater ,Crinifer piscator ,False,25,37,True,False,False,False,False
Eastern Plantain-eater ,Crinifer zonurus ,False,9,6,True,False,False,False,False
Guira Cuckoo ,Guira guira ,False,122,52,False,True,False,False,False
Greater Ani ,Crotophaga major ,False,111,53,False,True,False,False,False
Smooth-billed Ani ,Crotophaga ani ,False,253,159,False,True,False,False,False
Groove-billed Ani ,Crotophaga sulcirostris ,False,113,56,False,True,False,False,False
Striped Cuckoo ,Tapera naevia ,False,295,214,False,True,False,False,False
Pheasant Cuckoo ,Dromococcyx phasianellus ,False,139,18,False,True,False,False,False
Pavonine Cuckoo ,Dromococcyx pavoninus ,False,100,28,False,True,False,False,False
Lesser Ground Cuckoo ,Morococcyx erythropygus ,False,45,11,False,True,False,False,False
Greater Roadrunner ,Geococcyx californianus ,False,106,54,False,True,False,False,False
Lesser Roadrunner ,Geococcyx velox ,False,14,4,False,True,False,False,False
Rufous-vented Ground Cuckoo ,Neomorphus geoffroyi ,False,14,1,False,True,False,False,False
Scaled Ground Cuckoo ,Neomorphus squamiger ,False,3,0,False,True,False,False,False
Banded Ground Cuckoo ,Neomorphus radiolosus ,False,14,2,False,True,False,False,False
Rufous-winged Ground Cuckoo ,Neomorphus rufipennis ,False,12,0,False,True,False,False,False
Red-billed Ground Cuckoo ,Neomorphus pucheranii ,False,6,0,False,True,False,False,False
Buff-headed Coucal ,Centropus milo ,False,27,3,False,False,False,False,False
White-necked Coucal ,Centropus ateralbus ,False,4,1,False,False,False,True,False
Ivory-billed Coucal ,Centropus menbeki ,False,27,6,False,False,True,True,False
Biak Coucal ,Centropus chalybeus ,False,9,0,False,False,True,False,False
Rufous Coucal ,Centropus unirufus ,False,9,0,False,False,True,False,False
Green-billed Coucal ,Centropus chlororhynchos ,False,15,0,False,False,True,False,False
Black-faced Coucal ,Centropus melanops ,False,21,3,False,False,True,False,False
Black-hooded Coucal ,Centropus steerii ,False,6,0,False,False,True,False,False
Short-toed Coucal ,Centropus rectunguis ,False,21,3,False,False,True,False,False
Bay Coucal ,Centropus celebensis ,False,28,1,False,False,True,True,False
Gabon Coucal ,Centropus anselli ,False,2,3,True,False,False,False,False
Black-throated Coucal ,Centropus leucogaster ,False,24,7,True,False,False,False,False
Senegal Coucal ,Centropus senegalensis ,False,40,22,True,False,False,False,False
Blue-headed Coucal ,Centropus monachus ,False,20,5,True,False,False,False,False
Coppery-tailed Coucal ,Centropus cupreicaudus ,False,6,0,True,False,False,False,False
White-browed Coucal ,Centropus superciliosus ,False,57,25,True,False,True,False,False
Burchell's Coucal ,Centropus burchellii ,False,38,14,True,False,False,False,False
Sunda Coucal ,Centropus nigrorufus ,False,1,0,False,False,True,False,False
Greater Coucal ,Centropus sinensis ,False,161,64,False,False,True,False,False
Malagasy Coucal ,Centropus toulou ,False,38,25,True,False,True,False,False
Goliath Coucal ,Centropus goliath ,False,18,9,False,False,True,False,False
Black Coucal ,Centropus grillii ,False,7,1,True,False,False,False,False
Philippine Coucal ,Centropus viridis ,False,26,7,False,False,True,False,False
Lesser Coucal ,Centropus bengalensis ,False,54,20,False,False,True,True,False
Violaceous Coucal ,Centropus violaceus ,False,7,3,False,False,False,True,False
Black-billed Coucal ,Centropus bernsteini ,False,9,0,False,False,True,True,False
Pheasant Coucal ,Centropus phasianinus ,False,33,11,False,False,True,True,False
Andaman Coucal ,Centropus andamanensis ,False,11,1,False,False,True,False,False
Bornean Ground Cuckoo ,Carpococcyx radiceus ,False,38,0,False,False,True,False,False
Sumatran Ground Cuckoo ,Carpococcyx viridis ,False,15,0,False,False,True,False,False
Coral-billed Ground Cuckoo ,Carpococcyx renauldi ,False,22,1,False,False,True,False,False
Snail-eating Coua ,Coua delalandei ,True,0,0,False,False,False,False,False
Crested Coua ,Coua cristata ,False,22,1,True,False,False,False,False
Verreaux's Coua ,Coua verreauxi ,False,2,0,True,False,False,False,False
Blue Coua ,Coua caerulea ,False,20,2,True,False,False,False,False
Red-capped Coua ,Coua ruficeps ,False,21,1,True,False,False,False,False
Red-fronted Coua ,Coua reynaudii ,False,16,0,True,False,False,False,False
Coquerel's Coua ,Coua coquereli ,False,26,6,True,False,False,False,False
Running Coua ,Coua cursor ,False,17,4,True,False,False,False,False
Giant Coua ,Coua gigas ,False,16,2,True,False,False,False,False
Red-breasted Coua ,Coua serriana ,False,21,0,True,False,False,False,False
Raffles's Malkoha ,Rhinortha chlorophaea ,False,29,6,False,False,True,False,False
Blue Malkoha ,Ceuthmochares aereus ,False,27,11,True,False,False,False,False
Green Malkoha ,Ceuthmochares australis ,False,17,0,False,False,False,False,False
Sirkeer Malkoha ,Taccocua leschenaultii ,False,6,0,False,False,True,False,False
Red-billed Malkoha ,Zanclostomus javanicus ,False,14,2,False,False,True,False,False
Yellow-billed Malkoha ,Rhamphococcyx calyorhynchus ,False,9,1,False,False,True,True,False
Chestnut-breasted Malkoha ,Phaenicophaeus curvirostris ,False,12,1,False,False,True,False,False
Red-faced Malkoha ,Phaenicophaeus pyrrhocephalus ,False,1,0,False,False,True,False,False
Chestnut-bellied Malkoha ,Phaenicophaeus sumatranus ,False,4,0,False,False,True,False,False
Blue-faced Malkoha ,Phaenicophaeus viridirostris ,False,2,0,False,False,True,False,False
Black-bellied Malkoha ,Phaenicophaeus diardi ,False,4,0,False,False,True,False,False
Green-billed Malkoha ,Phaenicophaeus tristis ,False,13,0,False,False,True,False,False
Rough-crested Malkoha ,Dasylophus superciliosus ,False,1,0,False,False,True,False,False
Scale-feathered Malkoha ,Dasylophus cumingi ,False,8,0,False,False,True,False,False
Chestnut-winged Cuckoo ,Clamator coromandus ,False,34,1,False,False,True,False,False
Great Spotted Cuckoo ,Clamator glandarius ,False,148,11,True,False,True,False,True
Levaillant's Cuckoo ,Clamator levaillantii ,False,22,2,True,False,False,False,False
Jacobin Cuckoo ,Clamator jacobinus ,False,47,2,True,False,True,False,False
Little Cuckoo ,Coccycua minuta ,False,81,13,False,True,False,False,False
Dwarf Cuckoo ,Coccycua pumila ,False,4,0,False,True,True,False,False
Ash-colored Cuckoo ,Coccycua cinerea ,False,8,0,False,True,False,False,False
Squirrel Cuckoo ,Piaya cayana ,False,344,160,False,True,False,False,False
Black-bellied Cuckoo ,Piaya melanogaster ,False,37,9,False,True,False,False,False
Dark-billed Cuckoo ,Coccyzus melacoryphus ,False,63,3,False,True,False,False,False
Yellow-billed Cuckoo ,Coccyzus americanus ,False,209,152,True,True,False,False,True
Pearly-breasted Cuckoo ,Coccyzus euleri ,False,27,3,False,True,False,False,False
Mangrove Cuckoo ,Coccyzus minor ,False,41,11,False,True,False,False,False
Cocos Cuckoo ,Coccyzus ferrugineus ,False,0,0,False,False,False,False,False
Black-billed Cuckoo ,Coccyzus erythropthalmus ,False,59,7,False,True,False,False,True
Grey-capped Cuckoo ,Coccyzus lansbergi ,False,8,1,False,True,False,False,False
Chestnut-bellied Cuckoo ,Coccyzus pluvialis ,False,1,0,False,False,False,False,False
Bay-breasted Cuckoo ,Coccyzus rufigularis ,False,5,0,False,True,False,False,False
Jamaican Lizard Cuckoo ,Coccyzus vetula ,False,1,0,False,False,False,False,False
Great Lizard Cuckoo ,Coccyzus merlini ,False,13,2,False,False,False,False,False
Puerto Rican Lizard Cuckoo ,Coccyzus vieilloti ,False,10,7,False,False,False,False,False
Hispaniolan Lizard Cuckoo ,Coccyzus longirostris ,False,8,3,False,True,False,False,False
Thick-billed Cuckoo ,Pachycoccyx audeberti ,False,7,0,True,False,False,False,False
Dwarf Koel ,Microdynamis parva ,False,11,1,False,False,False,True,False
Asian Koel ,Eudynamys scolopaceus ,False,236,213,True,False,True,True,False
Black-billed Koel ,Eudynamys melanorhynchus ,False,29,20,False,False,True,True,False
Pacific Koel ,Eudynamys orientalis ,False,73,35,False,False,True,True,False
Pacific Long-tailed Cuckoo ,Urodynamis taitensis ,False,12,2,False,False,True,True,False
Channel-billed Cuckoo ,Scythrops novaehollandiae ,False,28,17,False,False,True,True,False
Asian Emerald Cuckoo ,Chrysococcyx maculatus ,False,6,1,False,False,True,False,False
Violet Cuckoo ,Chrysococcyx xanthorhynchus ,False,33,3,False,False,True,False,False
Diederik Cuckoo ,Chrysococcyx caprius ,False,83,60,True,False,True,False,False
Klaas's Cuckoo ,Chrysococcyx klaas ,False,66,50,True,False,True,False,False
Yellow-throated Cuckoo ,Chrysococcyx flavigularis ,False,4,0,True,False,False,False,False
African Emerald Cuckoo ,Chrysococcyx cupreus ,False,97,75,True,False,False,False,False
Long-billed Cuckoo ,Chrysococcyx megarhynchus ,False,4,0,False,False,True,True,False
Horsfield's Bronze Cuckoo ,Chrysococcyx basalis ,False,23,16,False,False,True,True,False
Black-eared Cuckoo ,Chrysococcyx osculans ,False,10,6,False,False,True,True,False
Rufous-throated Bronze Cuckoo ,Chrysococcyx ruficollis ,False,5,0,False,False,True,True,False
Shining Bronze Cuckoo ,Chrysococcyx lucidus ,False,26,9,False,False,True,True,False
White-eared Bronze Cuckoo ,Chrysococcyx meyerii ,False,6,0,False,False,True,True,False
Little Bronze Cuckoo ,Chrysococcyx minutillus ,False,59,9,False,False,True,True,False
Pallid Cuckoo ,Cacomantis pallidus ,False,20,9,False,False,True,True,False
White-crowned Cuckoo ,Cacomantis leucolophus ,False,23,0,False,False,True,True,False
Chestnut-breasted Cuckoo ,Cacomantis castaneiventris ,False,26,4,False,False,True,True,False
Fan-tailed Cuckoo ,Cacomantis flabelliformis ,False,58,26,False,False,True,True,False
Banded Bay Cuckoo ,Cacomantis sonneratii ,False,89,4,False,False,True,False,False
Plaintive Cuckoo ,Cacomantis merulinus ,False,132,45,True,False,True,True,False
Grey-bellied Cuckoo ,Cacomantis passerinus ,False,31,1,False,False,True,False,False
Brush Cuckoo ,Cacomantis variolosus ,False,102,41,False,False,True,True,False
Rusty-breasted Cuckoo ,Cacomantis sepulcralis ,False,105,20,False,False,True,False,False
Moluccan Cuckoo ,Cacomantis aeruginosus ,False,13,2,False,False,True,False,False
Dusky Long-tailed Cuckoo ,Cercococcyx mechowi ,False,36,6,True,False,False,False,False
