Common name 	Scientific name 	Status 	No. 	No. Back
Pied Goshawk 	Accipiter albogularis 		5 	0
Slaty-mantled Goshawk 	Accipiter luteoschistaceus 		0 	0
Imitator Goshawk 	Accipiter imitator 		0 	0
Grey-headed Goshawk 	Accipiter poliocephalus 		1 	0
New Britain Goshawk 	Accipiter princeps 		0 	0
Japanese Sparrowhawk 	Accipiter gularis 		28 	1
Dwarf Sparrowhawk 	Accipiter nanus 		4 	0
Collared Sparrowhawk 	Accipiter cirrocephalus 		7 	0
New Britain Sparrowhawk 	Accipiter brachyurus 		0 	0
Vinous-breasted Sparrowhawk 	Accipiter rhodogaster 		4 	0
Meyer's Goshawk 	Accipiter meyerianus 		0 	0
Eastern Marsh Harrier 	Circus spilonotus 		22 	0
Swamp Harrier 	Circus approximans 		8 	0
Spotted Harrier 	Circus assimilis 		1 	0
Pied Harrier 	Circus melanoleucos 		1 	0
Black Kite 	Milvus migrans 		197 	150
Whistling Kite 	Haliastur sphenurus 		18 	14
Brahminy Kite 	Haliastur indus 		41 	8
White-bellied Sea Eagle 	Haliaeetus leucogaster 		31 	3
Sanford's Sea Eagle 	Haliaeetus sanfordi 		1 	1
Lesser Fish Eagle 	Haliaeetus humilis 		9 	0
Rufous-winged Buzzard 	Butastur liventer 		4 	1
Grey-faced Buzzard 	Butastur indicus 		35 	1
Australian Bustard 	Ardeotis australis 		1 	0
Chestnut Forest Rail 	Rallicula rubra 		8 	0
Forbes's Forest Rail 	Rallicula forbesi 		7 	0
Mayr's Forest Rail 	Rallicula mayri 		0 	0
Red-necked Crake 	Rallina tricolor 		31 	0
Red-legged Crake 	Rallina fasciata 		19 	1
Slaty-legged Crake 	Rallina eurizonoides 		16 	1
Woodford's Rail 	Nesoclopeus woodfordi 		8 	0
Weka 	Gallirallus australis 		12 	0
Lord Howe Woodhen 	Gallirallus sylvestris 		3 	0
Barred Rail 	Gallirallus torquatus 		10 	0
Pink-legged Rail 	Gallirallus insignis 		0 	0
Buff-banded Rail 	Gallirallus philippensis 		12 	1
Lewin's Rail 	Lewinia pectoralis 		12 	0
Auckland Rail 	Lewinia muelleri 		0 	0
Snoring Rail 	Aramidopsis plateni 		0 	0
Blue-faced Rail 	Gymnocrex rosenbergii 		0 	0
Bare-eyed Rail 	Gymnocrex plumbeiventris 		0 	0
Isabelline Bush-hen 	Amaurornis isabellina 		11 	0
Plain Bush-hen 	Amaurornis olivacea 		4 	0
Pale-vented Bush-hen 	Amaurornis moluccana 		50 	5
Talaud Bush-hen 	Amaurornis magnirostris 		4 	0
White-breasted Waterhen 	Amaurornis phoenicurus 		130 	32
Baillon's Crake 	Porzana pusilla 		113 	7
Australian Crake 	Porzana fluminea 		3 	1
Ruddy-breasted Crake 	Porzana fusca 		29 	2
Band-bellied Crake 	Porzana paykullii 		14 	9
Spotless Crake 	Porzana tabuensis 		18 	0
White-browed Crake 	Porzana cinerea 		18 	1
Chestnut Rail 	Eulabeornis castaneoventris 		2 	0
New Guinea Flightless Rail 	Megacrex inepta 		0 	0
Watercock 	Gallicrex cinerea 		12 	0
Western Swamphen 	Porphyrio porphyrio 		96 	420
South Island Takahe 	Porphyrio hochstetteri 		6 	0
Common Moorhen 	Gallinula chloropus 		1010 	690
Dusky Moorhen 	Gallinula tenebrosa 		14 	1
