Common name 	Scientific name 	Status 	No. 	No. Back
Streaked Shearwater 	Calonectris leucomelas 		0 	0
Cory's Shearwater 	Calonectris borealis 		60 	9
Cape Verde Shearwater 	Calonectris edwardsii 		0 	0
Wedge-tailed Shearwater 	Ardenna pacifica 		26 	1
Sooty Shearwater 	Ardenna grisea 		12 	2
Flesh-footed Shearwater 	Ardenna carneipes 		9 	0
Great Shearwater 	Ardenna gravis 		1 	1
Manx Shearwater 	Puffinus puffinus 		146 	4
Yelkouan Shearwater 	Puffinus yelkouan 		10 	2
Balearic Shearwater 	Puffinus mauretanicus 		2 	0
Audubon's Shearwater 	Puffinus lherminieri 		2 	0
Persian Shearwater 	Puffinus persicus 		1 	0
Tropical Shearwater 	Puffinus bailloni 		3 	0
Little Shearwater 	Puffinus assimilis 		0 	0
Barolo Shearwater 	Puffinus baroli 		17 	3
Boyd's Shearwater 	Puffinus boydi 		0 	0
Bulwer's Petrel 	Bulweria bulwerii 		5 	0
Jouanin's Petrel 	Bulweria fallax 		0 	0
Little Grebe 	Tachybaptus ruficollis 		628 	459
Madagascan Grebe 	Tachybaptus pelzelnii 		12 	0
Red-necked Grebe 	Podiceps grisegena 		91 	52
Great Crested Grebe 	Podiceps cristatus 		205 	159
Horned Grebe 	Podiceps auritus 		82 	3
Black-necked Grebe 	Podiceps nigricollis 		60 	22
Greater Flamingo 	Phoenicopterus roseus 		147 	271
Lesser Flamingo 	Phoeniconaias minor 		19 	1
Red-billed Tropicbird 	Phaethon aethereus 		20 	5
Red-tailed Tropicbird 	Phaethon rubricauda 		31 	35
White-tailed Tropicbird 	Phaethon lepturus 		21 	0
Yellow-billed Stork 	Mycteria ibis 		2 	0
African Openbill 	Anastomus lamelligerus 		1 	0
Black Stork 	Ciconia nigra 		23 	0
Abdim's Stork 	Ciconia abdimii 		0 	0
Woolly-necked Stork 	Ciconia episcopus 		0 	0
White Stork 	Ciconia ciconia 		84 	22
Saddle-billed Stork 	Ephippiorhynchus senegalensis 		0 	0
Marabou Stork 	Leptoptilos crumenifer 		14 	1
African Sacred Ibis 	Threskiornis aethiopicus 		8 	0
Malagasy Sacred Ibis 	Threskiornis bernieri 		0 	0
Northern Bald Ibis 	Geronticus eremita 		46 	9
Southern Bald Ibis 	Geronticus calvus 		1 	0
Olive Ibis 	Bostrychia olivacea 		2 	0
Sao Tome Ibis 	Bostrychia bocagei 		1 	0
Spot-breasted Ibis 	Bostrychia rara 		8 	0
Hadada Ibis 	Bostrychia hagedash 		122 	155
Wattled Ibis 	Bostrychia carunculata 		13 	1
Glossy Ibis 	Plegadis falcinellus 		67 	29
Madagascan Ibis 	Lophotibis cristata 		3 	0
Eurasian Spoonbill 	Platalea leucorodia 		18 	33
African Spoonbill 	Platalea alba 		5 	0
White-crested Tiger Heron 	Tigriornis leucolopha 		3 	0
Eurasian Bittern 	Botaurus stellaris 		395 	233
Little Bittern 	Ixobrychus minutus 		253 	33
Yellow Bittern 	Ixobrychus sinensis 		13 	0
Cinnamon Bittern 	Ixobrychus cinnamomeus 		7 	2
Dwarf Bittern 	Ixobrychus sturmii 		1 	1
White-backed Night Heron 	Gorsachius leuconotus 		5 	2
Black-crowned Night Heron 	Nycticorax nycticorax 		431 	90
Striated Heron 	Butorides striata 		125 	20
Squacco Heron 	Ardeola ralloides 		51 	13
Indian Pond Heron 	Ardeola grayii 		16 	1
Malagasy Pond Heron 	Ardeola idae 		0 	0
Rufous-bellied Heron 	Ardeola rufiventris 		0 	0
Western Cattle Egret 	Bubulcus ibis 		174 	93
Grey Heron 	Ardea cinerea 		594 	395
Great Blue Heron 	Ardea herodias 		98 	45
Black-headed Heron 	Ardea melanocephala 		14 	3
Humblot's Heron 	Ardea humbloti 		0 	0
Goliath Heron 	Ardea goliath 		1 	0
Purple Heron 	Ardea purpurea 		106 	37
Great Egret 	Ardea alba 		240 	69
Black Heron 	Egretta ardesiaca 		5 	0
Slaty Egret 	Egretta vinaceigula 		0 	0
Little Blue Heron 	Egretta caerulea 		48 	5
Snowy Egret 	Egretta thula 		68 	20
Little Egret 	Egretta garzetta 		247 	91
Western Reef Heron 	Egretta gularis 		16 	10
Dimorphic Egret 	Egretta dimorpha 		4 	0
Hamerkop 	Scopus umbretta 		30 	5
Shoebill 	Balaeniceps rex 		0 	0
Great White Pelican 	Pelecanus onocrotalus 		12 	3
Pink-backed Pelican 	Pelecanus rufescens 		0 	0
Dalmatian Pelican 	Pelecanus crispus 		2 	0
Ascension Frigatebird 	Fregata aquila 		1 	0
Magnificent Frigatebird 	Fregata magnificens 		11 	1
Great Frigatebird 	Fregata minor 		25 	2
Lesser Frigatebird 	Fregata ariel 		0 	0
Northern Gannet 	Morus bassanus 		68 	63
Cape Gannet 	Morus capensis 		11 	1
Australasian Gannet 	Morus serrator 		4 	0
Masked Booby 	Sula dactylatra 		29 	0
Red-footed Booby 	Sula sula 		43 	9
Brown Booby 	Sula leucogaster 		15 	1
Reed Cormorant 	Microcarbo africanus 		3 	3
Crowned Cormorant 	Microcarbo coronatus 		0 	0
Pygmy Cormorant 	Microcarbo pygmaeus 		6 	1
Bank Cormorant 	Phalacrocorax neglectus 		0 	0
European Shag 	Phalacrocorax aristotelis 		12 	5
Great Cormorant 	Phalacrocorax carbo 		111 	121
White-breasted Cormorant 	Phalacrocorax lucidus 		8 	2
Cape Cormorant 	Phalacrocorax capensis 		3 	0
Socotra Cormorant 	Phalacrocorax nigrogularis 		0 	0
African Darter 	Anhinga rufa 		8 	0
Secretarybird 	Sagittarius serpentarius 		5 	0
Western Osprey 	Pandion haliaetus 		215 	58
Black-winged Kite 	Elanus caeruleus 		242 	18
Scissor-tailed Kite 	Chelictinia riocourii 		2 	0
African Harrier-Hawk 	Polyboroides typus 		12 	6
Madagascan Harrier-Hawk 	Polyboroides radiatus 		4 	2
Palm-nut Vulture 	Gypohierax angolensis 		0 	0
Bearded Vulture 	Gypaetus barbatus 		3 	0
Egyptian Vulture 	Neophron percnopterus 		2 	0
Madagascan Serpent Eagle 	Eutriorchis astur 		2 	0
European Honey Buzzard 	Pernis apivorus 		67 	2
Crested Honey Buzzard 	Pernis ptilorhynchus 		92 	8
African Cuckoo-Hawk 	Aviceda cuculoides 		5 	0
Hooded Vulture 	Necrosyrtes monachus 		2 	0
White-backed Vulture 	Gyps africanus 		4 	0
Rüppell's Vulture 	Gyps rueppelli 		6 	0
Griffon Vulture 	Gyps fulvus 		55 	115
Cape Vulture 	Gyps coprotheres 		1 	0
White-headed Vulture 	Trigonoceps occipitalis 		0 	0
Cinereous Vulture 	Aegypius monachus 		4 	0
Lappet-faced Vulture 	Torgos tracheliotos 		0 	0
Short-toed Snake Eagle 	Circaetus gallicus 		46 	22
Beaudouin's Snake Eagle 	Circaetus beaudouini 		0 	0
Black-chested Snake Eagle 	Circaetus pectoralis 		1 	0
Brown Snake Eagle 	Circaetus cinereus 		0 	0
Southern Banded Snake Eagle 	Circaetus fasciolatus 		3 	0
Western Banded Snake Eagle 	Circaetus cinerascens 		6 	0
Congo Serpent Eagle 	Circaetus spectabilis 		14 	5
Bateleur 	Terathopius ecaudatus 		1 	0
Bat Hawk 	Macheiramphus alcinus 		8 	0
Crowned Eagle 	Stephanoaetus coronatus 		48 	3
Martial Eagle 	Polemaetus bellicosus 		6 	0
Long-crested Eagle 	Lophaetus occipitalis 		22 	2
Lesser Spotted Eagle 	Clanga pomarina 		49 	5
Greater Spotted Eagle 	Clanga clanga 		29 	1
Wahlberg's Eagle 	Hieraaetus wahlbergi 		5 	0
Booted Eagle 	Hieraaetus pennatus 		40 	28
Ayres's Hawk-Eagle 	Hieraaetus ayresii 		3 	1
Tawny Eagle 	Aquila rapax 		1 	0
Steppe Eagle 	Aquila nipalensis 		8 	7
Spanish Imperial Eagle 	Aquila adalberti 		27 	149
Eastern Imperial Eagle 	Aquila heliaca 		5 	0
Golden Eagle 	Aquila chrysaetos 		57 	1
Verreaux's Eagle 	Aquila verreauxii 		5 	0
Cassin's Hawk-Eagle 	Aquila africana 		1 	0
Bonelli's Eagle 	Aquila fasciata 		10 	0
African Hawk-Eagle 	Aquila spilogaster 		3 	0
Lizard Buzzard 	Kaupifalco monogrammicus 		30 	4
Gabar Goshawk 	Micronisus gabar 		18 	5
Dark Chanting Goshawk 	Melierax metabates 		5 	2
Eastern Chanting Goshawk 	Melierax poliopterus 		6 	0
Pale Chanting Goshawk 	Melierax canorus 		9 	1
Long-tailed Hawk 	Urotriorchis macrourus 		10 	3
Red-chested Goshawk 	Accipiter toussenelii 		11 	0
African Goshawk 	Accipiter tachiro 		56 	22
Chestnut-flanked Sparrowhawk 	Accipiter castanilius 		0 	0
Shikra 	Accipiter badius 		84 	7
Levant Sparrowhawk 	Accipiter brevipes 		3 	0
Frances's Sparrowhawk 	Accipiter francesiae 		13 	0
Red-thighed Sparrowhawk 	Accipiter erythropus 		1 	0
Little Sparrowhawk 	Accipiter minullus 		20 	1
Madagascan Sparrowhawk 	Accipiter madagascariensis 		6 	0
Ovambo Sparrowhawk 	Accipiter ovampensis 		4 	0
Eurasian Sparrowhawk 	Accipiter nisus 		105 	21
Rufous-breasted Sparrowhawk 	Accipiter rufiventris 		3 	0
Black Sparrowhawk 	Accipiter melanoleucus 		23 	3
Henst's Goshawk 	Accipiter henstii 		10 	0
Northern Goshawk 	Accipiter gentilis 		337 	49
Western Marsh Harrier 	Circus aeruginosus 		169 	45
African Marsh Harrier 	Circus ranivorus 		1 	0
Reunion Harrier 	Circus maillardi 		6 	0
Black Harrier 	Circus maurus 		2 	0
Hen Harrier 	Circus cyaneus 		14 	3
Pallid Harrier 	Circus macrourus 		21 	1
Montagu's Harrier 	Circus pygargus 		100 	4
Red Kite 	Milvus milvus 		73 	6
Black Kite 	Milvus migrans 		197 	150
Yellow-billed Kite 	Milvus aegyptius 		42 	49
African Fish Eagle 	Haliaeetus vocifer 		60 	27
Madagascan Fish Eagle 	Haliaeetus vociferoides 		0 	0
Pallas's Fish Eagle 	Haliaeetus leucoryphus 		6 	1
White-tailed Eagle 	Haliaeetus albicilla 		82 	21
Grasshopper Buzzard 	Butastur rufipennis 		1 	0
White-eyed Buzzard 	Butastur teesa 		4 	0
Rough-legged Buzzard 	Buteo lagopus 		19 	3
Long-legged Buzzard 	Buteo rufinus 		18 	1
Cape Verde Buzzard 	Buteo bannermani 		0 	0
