Common name 	Scientific name 	Status 	No. 	No. Back
Dusky-legged Guan 	Penelope obscura 		103 	17
White-crested Guan 	Penelope pileata 		10 	1
Chestnut-bellied Guan 	Penelope ochrogaster 		10 	0
White-browed Guan 	Penelope jacucaca 		3 	2
Trinidad Piping Guan 	Pipile pipile 		1 	0
Blue-throated Piping Guan 	Pipile cumanensis 		40 	48
Red-throated Piping Guan 	Pipile cujubi 		15 	4
Black-fronted Piping Guan 	Pipile jacutinga 		10 	0
Wattled Guan 	Aburria aburri 		58 	29
Sickle-winged Guan 	Chamaepetes goudotii 		41 	2
Highland Guan 	Penelopina nigra 		38 	65
Horned Guan 	Oreophasis derbianus 		16 	7
Nocturnal Curassow 	Nothocrax urumutum 		23 	2
Crestless Curassow 	Mitu tomentosum 		19 	2
Salvin's Curassow 	Mitu salvini 		16 	0
Razor-billed Curassow 	Mitu tuberosum 		28 	70
Alagoas Curassow 	Mitu mitu 		0 	0
Helmeted Curassow 	Pauxi pauxi 		8 	0
Horned Curassow 	Pauxi unicornis 		0 	0
Great Curassow 	Crax rubra 		26 	2
Blue-billed Curassow 	Crax alberti 		27 	0
Yellow-knobbed Curassow 	Crax daubentoni 		6 	0
Black Curassow 	Crax alector 		21 	2
Wattled Curassow 	Crax globulosa 		12 	3
Bare-faced Curassow 	Crax fasciolata 		58 	8
Red-billed Curassow 	Crax blumenbachii 		11 	1
Helmeted Guineafowl 	Numida meleagris 		87 	108
Bearded Wood Partridge 	Dendrortyx barbatus 		7 	0
Long-tailed Wood Partridge 	Dendrortyx macroura 		31 	5
Buffy-crowned Wood Partridge 	Dendrortyx leucophrys 		15 	5
Mountain Quail 	Oreortyx pictus 		76 	202
Scaled Quail 	Callipepla squamata 		53 	23
Elegant Quail 	Callipepla douglasii 		47 	99
California Quail 	Callipepla californica 		140 	205
Gambel's Quail 	Callipepla gambelii 		98 	686
Banded Quail 	Philortyx fasciatus 		14 	0
Northern Bobwhite 	Colinus virginianus 		89 	88
Yucatan Bobwhite 	Colinus nigrogularis 		7 	1
Spot-bellied Bobwhite 	Colinus leucopogon 		26 	31
Crested Bobwhite 	Colinus cristatus 		51 	29
Marbled Wood Quail 	Odontophorus gujanensis 		81 	11
Spot-winged Wood Quail 	Odontophorus capueira 		64 	9
Black-eared Wood Quail 	Odontophorus melanotis 		26 	0
Rufous-fronted Wood Quail 	Odontophorus erythrops 		32 	6
Black-fronted Wood Quail 	Odontophorus atrifrons 		17 	2
Chestnut Wood Quail 	Odontophorus hyperythrus 		95 	3
Dark-backed Wood Quail 	Odontophorus melanonotus 		28 	7
Rufous-breasted Wood Quail 	Odontophorus speciosus 		30 	4
Tacarcuna Wood Quail 	Odontophorus dialeucos 		1 	0
Gorgeted Wood Quail 	Odontophorus strophium 		35 	1
