Common name 	Scientific name 	Status 	No. 	No. Back
Swinhoe's Pheasant 	Lophura swinhoii 		9 	0
Hoogerwerf's Pheasant 	Lophura hoogerwerfi 		0 	0
Salvadori's Pheasant 	Lophura inornata 		2 	0
Crestless Fireback 	Lophura erythrophthalma 		1 	0
Crested Fireback 	Lophura ignita 		15 	0
Siamese Fireback 	Lophura diardi 		17 	0
Bulwer's Pheasant 	Lophura bulweri 		3 	1
White Eared Pheasant 	Crossoptilon crossoptilon 		12 	1
Tibetan Eared Pheasant 	Crossoptilon harmani 		14 	0
Brown Eared Pheasant 	Crossoptilon mantchuricum 		12 	1
Blue Eared Pheasant 	Crossoptilon auritum 		7 	0
Cheer Pheasant 	Catreus wallichii 		9 	1
Elliot's Pheasant 	Syrmaticus ellioti 		1 	0
Mrs. Hume's Pheasant 	Syrmaticus humiae 		6 	0
Mikado Pheasant 	Syrmaticus mikado 		6 	0
Copper Pheasant 	Syrmaticus soemmerringii 		1 	0
Reeves's Pheasant 	Syrmaticus reevesii 		13 	0
Common Pheasant 	Phasianus colchicus 		390 	4895
Green Pheasant 	Phasianus versicolor 		11 	6
Golden Pheasant 	Chrysolophus pictus 		16 	2
Lady Amherst's Pheasant 	Chrysolophus amherstiae 		18 	3
Bronze-tailed Peacock-Pheasant 	Polyplectron chalcurum 		10 	0
Mountain Peacock-Pheasant 	Polyplectron inopinatum 		7 	0
Germain's Peacock-Pheasant 	Polyplectron germaini 		20 	4
Grey Peacock-Pheasant 	Polyplectron bicalcaratum 		31 	3
Hainan Peacock-Pheasant 	Polyplectron katsumatae 		3 	0
Malayan Peacock-Pheasant 	Polyplectron malacense 		34 	1
Bornean Peacock-Pheasant 	Polyplectron schleiermacheri 		19 	0
Palawan Peacock-Pheasant 	Polyplectron napoleonis 		8 	1
Crested Argus 	Rheinardia ocellata 		1 	0
Great Argus 	Argusianus argus 		72 	34
Indian Peafowl 	Pavo cristatus 		66 	56
Green Peafowl 	Pavo muticus 		15 	1
Red-throated Loon 	Gavia stellata 		172 	25
Black-throated Loon 	Gavia arctica 		50 	10
Pacific Loon 	Gavia pacifica 		19 	2
Common Loon 	Gavia immer 		124 	32
Yellow-billed Loon 	Gavia adamsii 		5 	0
Wilson's Storm Petrel 	Oceanites oceanicus 		3 	0
White-faced Storm Petrel 	Pelagodroma marina 		4 	0
White-bellied Storm Petrel 	Fregetta grallaria 		0 	0
Black-bellied Storm Petrel 	Fregetta tropica 		1 	0
Laysan Albatross 	Phoebastria immutabilis 		143 	91
Black-footed Albatross 	Phoebastria nigripes 		22 	18
Short-tailed Albatross 	Phoebastria albatrus 		0 	0
Wandering Albatross 	Diomedea exulans 		2 	0
Shy Albatross 	Thalassarche cauta 		15 	1
Indian Yellow-nosed Albatross 	Thalassarche carteri 		1 	0
European Storm Petrel 	Hydrobates pelagicus 		43 	4
Least Storm Petrel 	Oceanodroma microsoma 		0 	0
Band-rumped Storm Petrel 	Oceanodroma castro 		17 	8
Swinhoe's Storm Petrel 	Oceanodroma monorhis 		6 	0
Leach's Storm Petrel 	Oceanodroma leucorhoa 		10 	0
Tristram's Storm Petrel 	Oceanodroma tristrami 		1 	0
Matsudaira's Storm Petrel 	Oceanodroma matsudairae 		0 	0
Fork-tailed Storm Petrel 	Oceanodroma furcata 		3 	0
Southern Giant Petrel 	Macronectes giganteus 		1 	1
Northern Fulmar 	Fulmarus glacialis 		62 	22
Cape Petrel 	Daption capense 		10 	13
Antarctic Prion 	Pachyptila desolata 		2 	0
Slender-billed Prion 	Pachyptila belcheri 		1 	0
Atlantic Petrel 	Pterodroma incerta 		1 	1
Providence Petrel 	Pterodroma solandri 		2 	0
Juan Fernandez Petrel 	Pterodroma externa 		0 	0
Kermadec Petrel 	Pterodroma neglecta 		3 	1
Barau's Petrel 	Pterodroma baraui 		4 	0
Hawaiian Petrel 	Pterodroma sandwichensis 		4 	0
Mottled Petrel 	Pterodroma inexpectata 		1 	0
White-necked Petrel 	Pterodroma cervicalis 		2 	0
Black-winged Petrel 	Pterodroma nigripennis 		4 	1
Bonin Petrel 	Pterodroma hypoleuca 		35 	39
Gould's Petrel 	Pterodroma leucoptera 		1 	0
Stejneger's Petrel 	Pterodroma longirostris 		0 	0
Mascarene Petrel 	Pseudobulweria aterrima 		0 	0
Tahiti Petrel 	Pseudobulweria rostrata 		2 	0
Streaked Shearwater 	Calonectris leucomelas 		0 	0
Cory's Shearwater 	Calonectris borealis 		60 	9
Wedge-tailed Shearwater 	Ardenna pacifica 		26 	1
Buller's Shearwater 	Ardenna bulleri 		0 	0
Sooty Shearwater 	Ardenna grisea 		12 	2
Short-tailed Shearwater 	Ardenna tenuirostris 		3 	0
Flesh-footed Shearwater 	Ardenna carneipes 		9 	0
Great Shearwater 	Ardenna gravis 		1 	1
Christmas Shearwater 	Puffinus nativitatis 		4 	0
Manx Shearwater 	Puffinus puffinus 		146 	4
Yelkouan Shearwater 	Puffinus yelkouan 		10 	2
Audubon's Shearwater 	Puffinus lherminieri 		2 	0
Persian Shearwater 	Puffinus persicus 		1 	0
Tropical Shearwater 	Puffinus bailloni 		3 	0
Bannerman's Shearwater 	Puffinus bannermani 		0 	0
Bulwer's Petrel 	Bulweria bulwerii 		5 	0
Jouanin's Petrel 	Bulweria fallax 		0 	0
Little Grebe 	Tachybaptus ruficollis 		628 	459
Tricolored Grebe 	Tachybaptus tricolor 		2 	0
Australasian Grebe 	Tachybaptus novaehollandiae 		8 	1
Red-necked Grebe 	Podiceps grisegena 		91 	52
Great Crested Grebe 	Podiceps cristatus 		205 	159
Horned Grebe 	Podiceps auritus 		82 	3
Black-necked Grebe 	Podiceps nigricollis 		60 	22
Greater Flamingo 	Phoenicopterus roseus 		147 	271
Lesser Flamingo 	Phoeniconaias minor 		19 	1
Red-billed Tropicbird 	Phaethon aethereus 		20 	5
Red-tailed Tropicbird 	Phaethon rubricauda 		31 	35
White-tailed Tropicbird 	Phaethon lepturus 		21 	0
Milky Stork 	Mycteria cinerea 		1 	0
Yellow-billed Stork 	Mycteria ibis 		2 	0
Painted Stork 	Mycteria leucocephala 		13 	3
Asian Openbill 	Anastomus oscitans 		4 	1
Black Stork 	Ciconia nigra 		23 	0
Abdim's Stork 	Ciconia abdimii 		0 	0
Woolly-necked Stork 	Ciconia episcopus 		0 	0
Storm's Stork 	Ciconia stormi 		0 	0
White Stork 	Ciconia ciconia 		84 	22
Oriental Stork 	Ciconia boyciana 		5 	1
Black-necked Stork 	Ephippiorhynchus asiaticus 		0 	0
Lesser Adjutant 	Leptoptilos javanicus 		1 	0
Greater Adjutant 	Leptoptilos dubius 		0 	0
Marabou Stork 	Leptoptilos crumenifer 		14 	1
African Sacred Ibis 	Threskiornis aethiopicus 		8 	0
Black-headed Ibis 	Threskiornis melanocephalus 		6 	1
Australian White Ibis 	Threskiornis molucca 		10 	6
Straw-necked Ibis 	Threskiornis spinicollis 		4 	0
Red-naped Ibis 	Pseudibis papillosa 		12 	0
White-shouldered Ibis 	Pseudibis davisoni 		13 	0
Giant Ibis 	Pseudibis gigantea 		8 	0
Northern Bald Ibis 	Geronticus eremita 		46 	9
Crested Ibis 	Nipponia nippon 		11 	0
Glossy Ibis 	Plegadis falcinellus 		67 	29
Eurasian Spoonbill 	Platalea leucorodia 		18 	33
Black-faced Spoonbill 	Platalea minor 		2 	0
African Spoonbill 	Platalea alba 		5 	0
Royal Spoonbill 	Platalea regia 		1 	0
Forest Bittern 	Zonerodius heliosylus 		0 	0
Eurasian Bittern 	Botaurus stellaris 		395 	233
Little Bittern 	Ixobrychus minutus 		253 	33
Black-backed Bittern 	Ixobrychus dubius 		1 	1
Yellow Bittern 	Ixobrychus sinensis 		13 	0
Von Schrenck's Bittern 	Ixobrychus eurhythmus 		11 	3
Cinnamon Bittern 	Ixobrychus cinnamomeus 		7 	2
Black Bittern 	Dupetor flavicollis 		11 	0
White-eared Night Heron 	Gorsachius magnificus 		1 	0
Japanese Night Heron 	Gorsachius goisagi 		9 	0
Malayan Night Heron 	Gorsachius melanolophus 		21 	0
Black-crowned Night Heron 	Nycticorax nycticorax 		431 	90
Nankeen Night Heron 	Nycticorax caledonicus 		17 	1
Striated Heron 	Butorides striata 		125 	20
Squacco Heron 	Ardeola ralloides 		51 	13
Indian Pond Heron 	Ardeola grayii 		16 	1
Chinese Pond Heron 	Ardeola bacchus 		19 	0
Javan Pond Heron 	Ardeola speciosa 		2 	3
Western Cattle Egret 	Bubulcus ibis 		174 	93
Eastern Cattle Egret 	Bubulcus coromandus 		8 	0
Grey Heron 	Ardea cinerea 		594 	395
White-necked Heron 	Ardea pacifica 		5 	2
